country,total_cases,total_deaths,total_recovered,active_cases,serious_critical,total_cases_per_1m_pop,deaths_per_1m_pop,total_tests,tests_per_1m_pop,population,name,country_population,region
Saint Kitts and Nevis,6607,48,"6,559",0,0,0,122645,891,126958,2356704,Saint Kitts and Nevis,54149,Central America
Palau,6290,10,"6,276",0,4,0,344979,548,71434,3917841,Palau,21613,Australia - Oceania
St. Barth,5507,6,0,0,0,0,553746,603,78646,7908095,St. Barth,7116,Central America
Nauru,5393,1,"5,347",0,45,0,494635,92,20509,1881042,Nauru,9770,Australia - Oceania
Kiribati,5085,24,"2,703",0,"2,358",3,41201,194,0,0,Kiribati,113001,Australia - Oceania
Anguilla,3904,12,0,0,0,0,256336,788,51382,3373736,Anguilla,18403,Central America
Wallis and Futuna,3550,8,438,0,"3,104",0,323256,728,20508,1867419,Wallis and Futuna,15851,Australia - Oceania
Saint Pierre Miquelon,3452,2,"2,449",0,"1,001",0,599410,347,25400,4410488,Saint Pierre Miquelon,5321,North America
Tuvalu,2943,1,0,0,0,0,243909,83,0,0,Tuvalu,11448,Australia - Oceania
Montserrat,1403,8,"1,376",0,19,0,282578,1611,17762,3577442,Montserrat,5387,Central America
China,503302,5272,"379,053",0,"118,977",0,347,4,160000000,110461,China,1397897720,East Asia/Southeast Asia
